Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Output
cf86f86eaba05c1bf8eeaf78d87cf0b4dab24a5feded8a9c5c77959228ebd06d,0.8634719710669073,0.39921874999999996,0.1506753201192773,0.0,0.8145435216458398,0.75,0.25,0.5211086600124627
64dfeaf9944d2c249e2f33f37611013c2da5eac57a51b59bb4051501c61da735,0.4803831276478172,0.5408348457350273,0.0013748027946810907,0.041207320061315784,0.0,0.2,1.0,0.48903918543966574
64dfeaf9944d2c249e2f33f37611013c2da5eac57a51b59bb4051501c61da735,1.0,1.0,1.0,0.009970210733666796,0.01758571623661887,0.45,0.0,0.8134313573575345
64dfeaf9944d2c249e2f33f37611013c2da5eac57a51b59bb4051501c61da735,0.0,0.0,0.0,1.0,0.18603192823885756,0.0,0.0,0.4263992318996911
64dfeaf9944d2c249e2f33f37611013c2da5eac57a51b59bb4051501c61da735,0.496039786332658,0.27586206896551724,0.00029299075952219966,0.8208311895199675,1.0,0.0,0.0,0.4742269828172035
64dfeaf9944d2c249e2f33f37611013c2da5eac57a51b59bb4051501c61da735,0.7992263768649842,0.7477313974591652,0.8814514311471714,0.005644616219646978,0.05134623942673043,1.0,0.5,0.5953649234657051
64dfeaf9944d2c249e2f33f37611013c2da5eac57a51b59bb4051501c61da735,0.6343709707128383,0.5698729582577133,0.15830516114491772,0.0,0.5606259652940894,0.75,0.25,0.5334360569261138
ca8b02d526f8b98ec72feb2bef34e9f5c27b8b4c0608def40ca018717cbc632b,0.2821497120921307,0.5147175815433571,0.001183364189872693,0.03563784288772798,1.0,0.2,1.0,0.4908128178404858
ca8b02d526f8b98ec72feb2bef34e9f5c27b8b4c0608def40ca018717cbc632b,1.0,1.0,1.0,0.007063868720662196,0.5515744023402797,0.45,0.0,0.8278558298375669
ca8b02d526f8b98ec72feb2bef34e9f5c27b8b4c0608def40ca018717cbc632b,0.2344849648112603,0.0,0.0,1.0,0.4384965383836697,0.0,0.0,0.41163893592862466
ca8b02d526f8b98ec72feb2bef34e9f5c27b8b4c0608def40ca018717cbc632b,0.0,0.24502784407319014,0.0002862977878724257,0.6568610703277276,0.7539201339294346,0.0,0.0,0.47439003840293437
ca8b02d526f8b98ec72feb2bef34e9f5c27b8b4c0608def40ca018717cbc632b,0.8889955214331414,0.6539379474940334,0.7230355200122155,0.005545879402491697,0.0,1.0,0.5,0.5796710624770738
ca8b02d526f8b98ec72feb2bef34e9f5c27b8b4c0608def40ca018717cbc632b,0.9312220089571336,0.49244232299124896,0.12766972687191036,0.0,0.3879800017386515,0.75,0.25,0.5215384471719805
aa18134dbcc7eaef03bc3f24b8169d13ba4690f63b503b25cd491563f5af514e,0.393169877408056,0.45703125,0.0010289171798455088,0.030809129657236773,0.28939516769445656,0.2,1.0,0.4757654121921816
aa18134dbcc7eaef03bc3f24b8169d13ba4690f63b503b25cd491563f5af514e,1.0,1.0,1.0,0.007808918365867103,0.7915224707941959,0.45,0.0,0.834667696918625
aa18134dbcc7eaef03bc3f24b8169d13ba4690f63b503b25cd491563f5af514e,0.07902802101576183,0.0,0.0,1.0,0.4293770951896634,0.0,0.0,0.3992326364684271
aa18134dbcc7eaef03bc3f24b8169d13ba4690f63b503b25cd491563f5af514e,0.0,0.18098958333333331,0.0001842836740021807,0.6374805323206127,1.0,0.0,0.0,0.4586497685288625
aa18134dbcc7eaef03bc3f24b8169d13ba4690f63b503b25cd491563f5af514e,0.4319176882661995,0.58203125,0.5795107268455244,0.005368408063203166,0.0,1.0,0.5,0.5475993218559959
aa18134dbcc7eaef03bc3f24b8169d13ba4690f63b503b25cd491563f5af514e,0.728984238178634,0.408203125,0.11907796735107579,0.0,0.6449494195926868,0.75,0.25,0.5033222951527272
dd77e983fb3573698a283216e13215a0928ab962e8b1f3916e386b2c94489b2d,0.33582474226804115,0.34517203107658156,0.0009036347697080045,0.03497478507127779,0.34002685815201156,0.2,1.0,0.4602943908869308
dd77e983fb3573698a283216e13215a0928ab962e8b1f3916e386b2c94489b2d,1.0,1.0,1.0,0.006787578189338618,0.5986486303362282,0.45,0.0,0.837542034606513
dd77e983fb3573698a283216e13215a0928ab962e8b1f3916e386b2c94489b2d,0.0,0.0,0.0,1.0,0.24143790325608128,0.0,0.0,0.3912692253622582
dd77e983fb3573698a283216e13215a0928ab962e8b1f3916e386b2c94489b2d,0.5249999999999999,0.1725860155382908,0.00020230629172567267,0.6363693801267556,1.0,0.0,0.0,0.4520548867565728
dd77e983fb3573698a283216e13215a0928ab962e8b1f3916e386b2c94489b2d,0.9172680412371133,0.4356270810210877,0.5699507721356801,0.005395564740781318,0.0,1.0,0.5,0.53026541514218
