Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Delay,Jitter,HC,Ouput
86d5bb9bff1fcf42ef0f1f60b042b4d4c1c72edfba6a9bf9cdffd5e67de0ac2b,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5992534834256195
86d5bb9bff1fcf42ef0f1f60b042b4d4c1c72edfba6a9bf9cdffd5e67de0ac2b,0.11164325933596499,0.21646379721420508,0.009478672985781988,0.8657467066576864,1.0,0.0,0.0,1.0,1.0,1.0,0.4262815245808859
b96af0e566e7fa2bb29240e67e329f5f8f8c02565f9a4d9735fff129626846cb,0.0,0.0,0.0,1.0,0.0975274527312222,0.0,0.0,0.0,0.0,1.0,0.4070299160808424
b96af0e566e7fa2bb29240e67e329f5f8f8c02565f9a4d9735fff129626846cb,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5909571764263265
b96af0e566e7fa2bb29240e67e329f5f8f8c02565f9a4d9735fff129626846cb,0.12696719125100006,0.2534930139720559,0.01189060642092747,0.8482235283932844,1.0,0.0,0.0,0.0,0.0,1.0,0.4372501647908645
cbe750c14ca7cf0aa48d5191d6154d110870b169ea12f9715ebfc73c56e7c48a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4021362712690478
cbe750c14ca7cf0aa48d5191d6154d110870b169ea12f9715ebfc73c56e7c48a,1.0,1.0,1.0,0.0,0.8044240183758657,1.0,1.0,0.0,0.0,0.0,0.5977563305761409
cbe750c14ca7cf0aa48d5191d6154d110870b169ea12f9715ebfc73c56e7c48a,0.1269764883816862,0.2614665911664779,0.012224938875305626,0.8242754781863081,1.0,0.0,0.0,1.0,1.0,1.0,0.43168216980987645
a15c38a7f886bffa3f7a8a69f07ab91c4d1e42072fb64fdff074369df8a21c81,0.0,0.0,0.0,1.0,0.5936794284083389,0.0,0.0,1.0,0.0,1.0,0.4015832853464578
a15c38a7f886bffa3f7a8a69f07ab91c4d1e42072fb64fdff074369df8a21c81,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5977062485823628
a15c38a7f886bffa3f7a8a69f07ab91c4d1e42072fb64fdff074369df8a21c81,0.10537863173991052,0.20978835978835977,0.009569377990430623,0.7650794057126272,1.0,0.0,0.0,1.0,0.0,1.0,0.43349522844561383
77ceb96fce5694267297b3eeec9588f961cd84a1576e91af700cfb3af90b086c,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3977326110376489
77ceb96fce5694267297b3eeec9588f961cd84a1576e91af700cfb3af90b086c,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6022673889623511
